name,group,language,youtube,logo
WION,News,English,UC_gUM8rL-Lrg6O3adPW9K1g,https://yt3.ggpht.com/ytc/AKedOLQ5U-RWZZWrWBgS5imVahjSmIJpb21BW3Rwwd1XTw
Aaj Tak,News,Hindi,UCt4t-jeY85JegMlZ-E5UWtA,https://yt3.ggpht.com/ytc/AKedOLQRJiELJWT983TxaxQ8nKgVGP4jgWTvqTaOUFekrB0
India TV,News,Hindi,UCttspZesZIDEwwpVIgoZtWQ,https://yt3.ggpht.com/y5S847YDNlDZNUUk3xmEfVMUDu2XSe0yAU_qvIpbwKi5VgIYQQc3FGeOANbgu-36sBEDpAwDAQ
Tomorrowland,Music,English,UCsN8M73DMWa8SPp5o_0IAQQ,https://yt3.ggpht.com/5C8e_VL2fvl8tEDcnW5K_TsocwiNxbhuXCpdV2t8DhJO-dz8cWIYq6nT3Mf4F9yBnQmIWZUe
Piano Relaxing,Nature,English,UCEiS8m8OLFI0REntmsTvzjA,https://yt3.ggpht.com/ytc/AKedOLS1ux6GXmgjIw4kkiJHfeuY0Bi9N0kjPaWVKzBv
Nature Relax,Nature,English,UC80oBMhAYgvV5bCWXs-xCUA,https://yt3.ggpht.com/f9e-m4g6okRrg7TCHLllMQYFxdM4SPTElEKjUWVmb4vbdzFyk2oM6knZuAVGiiZeIpvlNbO4jw
DW News,News,English,UCknLrEdhRCp1aegoMqRaCZgg,https://yt3.ggpht.com/ytc/AKedOLToHygnzerTBVOB3GsUcxsPiMP6dIOzFe9T90R0fAE
France 24 English,News,English,UCQfwfsi5VrQ8yKZ-UWmAEFg,https://yt3.ggpht.com/ytc/AKedOLSSvx6Lajinz_I-_33UiIWNItieFMkWIAxbDuR_AA
Al Jazeera English,News,English,UCNye-wNBqNL5ZzHSJj3l8Bg,https://yt3.ggpht.com/ytc/AKedOLSWUC1XEN9_RtfZ6mUX_oN3jo1UuB-KU3tweyxPLb4
Euro News,News,English,UCSrZ3UV4jOidv8ppoVuvW9Q,https://yt3.ggpht.com/yf11CBlHMr2hTqx-gUoAR_v9W0iRSK7O8PD5Wi5qKIcU7cKKF11Dhwr2KuKZ_SWRnxDVKIct
Sky News,News,English,UCoMdktPbSTixAyNGwb-UYkQ,https://yt3.ggpht.com/E96qzkAoX81DQs7wqRHR4rNk1esa4quBPzda2QRzImlhoHOVgRdAN8o-S0Rb_hpygo_n4LdhwTE
OTV,News,Odia,UCCgLMMp4lv7fSD2sBz1Ai6Q,https://yt3.ggpht.com/ytc/AKedOLSgRTYyhZKf1NGma__2qf_oa1eJfyLHkSHx9FIHfg
Republic Bharat,News,Hindi,UC7wXt18f2iA3EDXeqAVuKn,https://yt3.ggpht.com/ytc/AKedOLTHZuOu1RwxGkcEsHKE6_WfmeST3JPoWNLxir3alA
Argus News,News,Odia,UCwBK7Cdk0wq8rCjxcvaoHzg,https://yt3.ggpht.com/ytc/AKedOLSpayG9r8Bd4gUvQN8A-WwNKL_4RCF2IMgl5d_n
Kanak News,News,Odia,UC90RW5ZmBBqp4r2QIQxfACA,https://yt3.ggpht.com/vxTV33OnAei79YI2dPSTit69z5DaXn6r3jOvYHztTYeBU13ehCik6iKmvgYaO53jPokrWwcb8qo
News18 Odia,News,Odia,UCUK49UvmYWYLiB7_bZFuFZQ,https://yt3.ggpht.com/ytc/AKedOLTMjtN-vrh_KfbZj_vlGVo3ka_LDP2g6fsPuCJmjw
WB Kids,Kids,English,UC9trsD1jCTXXtN3xIOIU8gg,https://yt3.ggpht.com/BnrgYIJLNhJ2p9H-ymJcjVaKTMATWYl9rBix40pemYpkykC4_9gEbF82C_RsKgsRD8YzYXP5mA
DC Kids,Kids,English,UCyu8StPfZWapR6rfW_JgqcA,https://yt3.ggpht.com/ytc/AKedOLRu2MPHAs_A-Kmv-iTR_8rDC5uv6CoWq5ekM_DATw
Zee News,News,Hindi,UCIvaYmXn910QMdemBG3v1pQ,https://yt3.ggpht.com/ytc/AKedOLQ8kKijuHJ7kY9prcuIXQ1Aht4yznFzAZe-jleevQw
ABP News,News,Hindi,UCRWFSbif-RFENbBrSiez1DA,https://yt3.ggpht.com/ytc/AKedOLRUToLipy4MP82mnh40IvVCb4gOykJssP3S4anLCcE
DD News,News,Hindi,UCKwucPzHZ7zCUIf7If-Wo1g,https://yt3.ggpht.com/ytc/AKedOLQtlX3rWNbvBfc9eOCnu5jajwWVrxwe9NvqtLBB1w
DD India,News,English,UCGDQNvybfDDeGTf4GtigXaw,https://yt3.ggpht.com/ytc/AKedOLTp8egInu6rUWvlKwjpK0ybQBXaq8d26vo59KS8rg
CNBC Awaaz,News,Hindi,UCQIycDaLsBpMKjOCeaKUYVg,https://yt3.ggpht.com/ytc/AKedOLSyRjbzRKUYj309uO4sP5h3OrYedoJV1_kQxsTP
NDTV,News,English,UCZFMm1mMw0F81Z37aaEzTUA,https://yt3.ggpht.com/ytc/AKedOLQ21BVR2XXhuPuSZAf1HC6quBldr1TQYxXO552Mre4
Republic World,News,English,UCwqusr8YDwM-3mEYTDeJHzw,https://yt3.ggpht.com/ytc/AKedOLSsQCQ5OPDxOO21aNL5b7dHEA-42JUP2W7oxMefwA
